Test,Min Latency,Avg Latency,Max Latency,Std Dev,99th Percentile,Latency Range
I O Stress Test,2,6.353857566765579,291,2190.433186341647,291.0,-3622.6327893175076
Full Stress Test,2,8.312778603268946,534,2221.330197745675,534.0,-3579.3202080237743
Gpu Stress Test,2,4.367756315007429,2581,2644.5185260536455,2581.0,-2847.9598811292717
Baseline Test,2,2.0801335559265444,419,1052.0302682865574,419.0,-1516.6894824707847
Cpu Stress Test,2,4.146884272997033,279,2177.959207242955,279.0,-3645.199554896142
